,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_pressure_hier[Rafael Nadal],-0.538,0.102,-0.731,-0.345,0.001,0.001,13545.0,6210.0,1.0
beta_pressure_hier[Richard Gasquet],-0.528,0.112,-0.742,-0.327,0.001,0.002,12725.0,6069.0,1.0
beta_pressure_hier[Roberto Bautista Agut],-0.528,0.107,-0.728,-0.316,0.001,0.002,13675.0,6203.0,1.0
beta_pressure_hier[Roger Federer],-0.535,0.102,-0.728,-0.337,0.001,0.001,14471.0,6324.0,1.0
beta_pressure_hier[Roman Safiullin],-0.526,0.107,-0.716,-0.312,0.001,0.002,14402.0,6381.0,1.0
beta_pressure_hier[Sam Querrey],-0.533,0.104,-0.718,-0.324,0.001,0.001,13544.0,6036.0,1.0
beta_pressure_hier[Sebastian Korda],-0.544,0.109,-0.74,-0.336,0.001,0.002,13006.0,6337.0,1.0
beta_pressure_hier[Stefanos Tsitsipas],-0.526,0.107,-0.724,-0.315,0.001,0.002,13134.0,6484.0,1.0
beta_pressure_hier[Steve Johnson],-0.537,0.107,-0.751,-0.345,0.001,0.002,12938.0,6295.0,1.0
beta_pressure_hier[Taylor Fritz],-0.52,0.106,-0.713,-0.309,0.001,0.001,13047.0,6730.0,1.0
beta_pressure_hier[Tennys Sandgren],-0.532,0.108,-0.752,-0.342,0.001,0.002,13457.0,6020.0,1.0
beta_pressure_hier[Tim Van Rijthoven],-0.538,0.108,-0.74,-0.328,0.001,0.002,12799.0,6411.0,1.0
beta_pressure_hier[Tomas Berdych],-0.528,0.103,-0.724,-0.337,0.001,0.001,14969.0,6898.0,1.0
beta_pressure_hier[Tommy Paul],-0.521,0.107,-0.726,-0.318,0.001,0.002,13979.0,6356.0,1.0
beta_pressure_hier[Ugo Humbert],-0.546,0.11,-0.754,-0.342,0.001,0.002,12188.0,6857.0,1.0
beta_aggr_hier[Adrian Mannarino],0.529,0.163,0.224,0.835,0.002,0.002,8357.0,5802.0,1.0
beta_aggr_hier[Alex de Minaur],0.843,0.142,0.571,1.102,0.001,0.002,16116.0,6739.0,1.0
beta_aggr_hier[Alexander Bublik],0.855,0.149,0.569,1.134,0.001,0.002,18074.0,6028.0,1.0
beta_aggr_hier[Alexander Zverev],0.897,0.126,0.664,1.141,0.001,0.001,13822.0,6660.0,1.0
beta_aggr_hier[Andrey Rublev],0.807,0.128,0.56,1.042,0.001,0.001,16228.0,6197.0,1.0
beta_aggr_hier[Andy Murray],0.829,0.112,0.623,1.051,0.001,0.001,13885.0,7030.0,1.0
beta_aggr_hier[Arthur Fils],0.649,0.159,0.341,0.942,0.001,0.002,11708.0,5847.0,1.0
beta_aggr_hier[Ben Shelton],0.782,0.163,0.483,1.097,0.001,0.002,19675.0,5585.0,1.0
beta_aggr_hier[Benoit Paire],0.691,0.14,0.429,0.956,0.001,0.002,12717.0,6479.0,1.0
